№п/п	question
193	Що таке доінверторне навантаження?	
194	Sofar 30KTLX-G3 (30 кВт, 3 фазb, 3 MPPT)	
195	Чи можна підключати в паралельну систему інвертори різної потужності: Huawei SUN2000-50KTL-M0 і Huawei SUN2000-100KTL-M0	
196	Як розширити діапазон напруг на інверторі Sofar 30KTLX-G3?	
197	Які кабелі використовується для підключення 2х АКБ Dyness A48100 в одну систему?	
198	Як оновити прошивки на інверторі Solis будь-якої моделі?	
199	Чи можна запустити високовольтний інвертор DEYE без підключених акумуляторів?	
200	Чи працюють гібридні інвертори DEYE в паралелі без підключених акумуляторів?	
201	інвертор DEYE 15 низьковольтна. Вона має 2 трекера, 2 який розпреділений ще на 1. Отож питання. Чи можемо ми на перший там вчіпити умовно 12 фем. на 2 який розприділений 12 +6?	
202	Є Система накопления энергии Sungrow 1100 кВт/2250 кВт·ч Склад: Система накопления энергии Sungrow PowerStack ST225kWh-110kW (110 кВт/225 кВт·ч) - 10 шт. Система управления EMS Sungrow EMS300CP для Sungrow PowerStack - 1 шт. Якщо треба буде масштабувати з часом систему до 40 мВт. по АКБ, то скільки "блоків" можна максимально вішати на одну EMS?	
203	Надай список сумісних акумуляторів із інвертором LuxPower SNA 5000	
204	Чи можна підключити різін моделі PylonTech в один парк ? І якщо так то в якому порядку ? ( US2000, US3000C, US5000)	
205	Fronius Symo GEN24 10.0 Plus (10 кВт, 3 фази / 2 трекера) чи підходять Акумулятор літієвий Fronius Reserva 9.5?	
206	Які моделі інверторів Fronius можуть генерувати асиметрично?	?
207	Чи може працювати інвертор DEYE у схемі із об'єднаною нейтраллю входу та виходу?	
208	В якому розділі системи моніторингу оновлюються прошивки на інверторі LuxPower?	
209	Як налаштувати стандарт мережі на інверторі Fronius?	
210	Як на інверторі Solis зв'язати логер і EPM, якщо логер вмонтований в EPM?	
211	Яка модель лічильників сумісна з інвертором Huawei SUN2000-50/60KTL-M0?	
212	В яких випадках треба підключати акумулятори Pylontech в спільний парк?	
213	Чи можна підключати в 3фазну систему інвертори Deye SUN-6K-SG03LP1-EU по 2 інвертори на одну фазу?	
214	Якщо 3-х Deye 5 кВт працюють на об'єкті на одній фазі, але між собою інформаційним кабелем не зʼєднані. Є один АКБ і підключений до кожного інвертора напряму і на кожному інверторі показує свою потужність яка іде на АКБ. Таку систему краще об'єднати в одну?	
215	Якщо підключається в паралель два LuxPower SNA5000. Один із синіми діпами, другий з червоними. АКБ Dyness48100. Є якась особливість підключення?	
216	Чи можна на інверторі Huawei SUN2000-50/60KTL-M0 обмежити генерацію до 30 кВт без смарт міттера?	
217	Що таке Dynamic ESS на інверторах Victron?	
218	Чи можна в 3 фазну систему на інверторах Victron підключати мережевий Huawei як PV інвертор?	
219	Якщо до інвертора LuxPower SNA5000 підключати 1 АКБ Pylontech US5000, то в якому положенні мають бути діп перемикачі на АКБ?	
220	Як підключити до моніторингу інвертор LuxPower?	
221	Як підключити до моніторингу Solis cloud інвертор Solis?	
222	Що таке SAR - 100 і для чого він використовується?	
223	Як зареєструватись на порталі iSolarCloud?	
224	Як розширити діапазон напруг на інверторах Sungrow?	
225	Як оновити прошивку на інверторах Sungrow через iSolarCloud?	
226	Як надати доступ (розшарити) до станції іншим користувачам в iSolarCloud?	
227	Яка розпіновка кабелю для підключення інвертора LuxPower із синіми діпами та АКБ Pylontech?	
228	напиши список сумісних акумуляторів із інвертором Victron	
229	З якими типами АКБ працює LuxPower SNA 6000?	
230	Чи можна налаштувати заряд АКБ по часу на інверторі LuxPower SNA ?	
231	В який порт підключається інформаційно кабель від акумулятора на Victron Cerbo GX?	
232	Чи працює інвертор Sofar HYD без підключення лічильника ?	
233	Чи можна інвертори Solis RHI-3P 5K-HVES-5G підключати в паралель?	
234	Чи можна локально оновити прошивку на інверторі Deye SUN-15K-SG05LP3-EU-SM2?	
235	Що таке коефіцієнт трансформації?	
236	Що таке трансформатори струму?	
237	Що означає кількість стрінгів на один MPPT трекер на інверторі Deye SUN-16K-SG05LP3-EU-SM2?	
238	Як в системі моніторингу fusionsolar додати кінцевого користувача з аккаунту інсталятора?	
239	Наприклад щоб виставити рівень SOC для АКБ?	
240	Чи можна у 3фазну систему підключати по два інвертори LuxPower SNA6000 на одну фазу?	
241	Чи можна в одну систему підключати високовольтні і низьковольтні АКБ Dyness?	
242	Що означає код помилки Е017 на інверторі LuxPower?	
243	Як включити експорт в мережу в системі моніторингу Solarman Business на гібридному інверторі Deye?	
244	Які лічильники сумісні з інвертором Sofar HYD 10-20KTL-3PH?	
245	Як розширити діапазон напруг на інверторах Deye?	
246	Як змінити стандарт мережі на інверторі Fronius Symo 15.0-3-M?	
247	Яким кабелем треба підключити 3 АКБ Dyness A48100 між собою?	
248	Чи можна зібрати 3 фазну систему на інверторах Sungrow SH6.0RT?	
249	Чи можна у 3 фазну систему підключити 2 Victron Energy MultiPlus-II 48/5000/70-50 230V і 1 Victron Energy Quattro 48/8000/110-100/100?	
250	Як розширити діапазон напруг на інверторі SUN2000-50KTL-M0?	
251	Як виконується інформаційне підлкючення між інверторами в паралелі LUxPower?	
252	Які інвертори Victron мають окремий вхід для генератора ?	
253	Які АКБ підтримує інвертор Sofar HYD?	
254	Який пароль в Advamced Settings на інверторі Solis?	
255	Як розширити діапазон напруг мережі на Solis ?	
256	Як увімкнути оюмеження на видачу в мережу на інверторі Solis?	
257	Як увімкнути заряд АКБ по часу у Sungrow ?	
258	Як налаштувати декілька інверторів LuxPower в паралель?	
259	Який портал моніторирингу у Victron?	
260	Що означає помилка ID042 у Sofar HYD?	
261	За що відповідає режим time of use у Sofar HYD 20?	
262	Який пароль в налаштування інвертора Sofar?	
263	Як на інверторі Sungrow через iSolarCloud налаштуватувати нульову видачу в мережу?	
264	Як на інверторі LuxPower через систему моніторингу змінити кластер з Азії на Європу?	
265	Якщо буде різний рівень SOC?	
266	Deye BOS-G	
267	Чи сумісний Deye BOS-G з інвертором LuxPower SNA 6000?	
268	Що означає код помилки 408 на інверторах Fronius?	
269	Як оновити прошивку на інверторі Solis_Manual_S5-GR3P20K?	
270	Чи можна інвертори Solis-125K-5G і Solis-100K-5 підключати в паралель?	
271	Чи можна на інверторах Huawei через систему моніторингу Fusion Solar оновити прошивку?	
272	Під час додавання станції в моніторинг Fusion Solar першим треба додавати логер чи інвертор?	
273	Як виміряти напругу на виході на інверторах Huawei?	
274	Як виміряти напругу на АКБ Pylontech US5000?	
275	В який порт підключається генератор на інверторі Deye SUN-7.6K-SG01LP1-EU?	
276	Що таке АВР?	
277	Яка розпіновка кабелю при підключенні інвертора LuxPower SNA5000 з червоними діпами та АКБ Pylontech US5000?	
278	Чи є порт BMS-Can на Cerbo GX?	
279	Чи підтримує інвертор SOFAR15K~24KTLX-G3 роботу в паралельному режимі?	
280	Що таке Datamanager на інверторах Fronius?	
281	В які які моделі серії Fronius вбудований Datamanager?	
282	Чи можна з гібридним інвертором Sungrow використовувати АКБ моделі BYD?	
283	Як надати доступ до станції на порталі iSolarCloud?	
284	Чи можна оновити прошивку локально на інверторі Huawei Sun 2000 -12 KTL?	
285	Чи можна додати в паралель інвертор Sungrow sh6.0rs, щоб він працював в системі як мережевий? В системі вже є Sungrow sh6.0rs +SBR	
286	Як зареєструвати аккаунт на порталі iSolarCloud?	
287	Що означає дана помилка W3 Grid_Phase_Wrong на інверторі Deye?	
288	Який використовується зв'язок із АКБ Pylontech H48050?	
289	Чи сумісний Pylontech H48050 з інвертором LuxPower SNA5000?	
290	Step1. Mark the positions of drill holes with the mounting bracket, then drill 4 holes of 8mm(5/16inch) diameter and make sure the depth of the holes is deeper than 50mm(2inch) Переведи на українську мову?	
291	Як включити експорт в мережу через моніторинг на інверторі LuxPоwer LXP-LB-EU 10k?	
292	Чи можна в паралельну систему підключити інвертори LuxPоwer LXP-LB-EU 8k та LuxPоwer SNA5000?	
293	Яка комунікація з інвертором Huawei SUN2000-15KTL-M2?	
294	Чи може реле напруги або стабілізатор затримувати перехід інвертора LuxPower SNA 5000 на бекап?	
295	Який import power limit треба встановити, якщо номінал трансформаторів струму 40А на гібридному інверторі Sungrow?	
296	Чи сумісні АКБ Pylontech H48050 з інвертором LuxPower SNA5000?	
297	Чи сумісні АКБ Pylontech US5000 з інвертором LuxPower LXP 10K?	
298	Чи сумісні АКБ Pylontech H48050 з інвертором LuxPower LXP 8K?	
299	Чи сумісні АКБ Pylontech H48050 з інвертором LuxPower LXP 10K?	
300	Чи сумісний АКБ Dyness з інвертором Deye?	
301	Чи сумісний АКБ Pylontech з інвертором Deye?	
302	Чи сумісний АКБ Pylontech US5000 з інвертором Deye SUN-6K-SG04LP1-EU?	
303	Чи сумісний АКБ Pylontech H48050 з інвертором Deye SUN-6K-SG04LP1-EU?	
304	Чи сумісний інвертор LuxPower SNA 5000 з АКБ Pylontech US5000?	
305	Чи сумісний інвертор LuxPower SNA 5000 з АКБ Deye?	
306	Чи сумісний інвертор Victron Energy MultiPlus-II 48/5000/70-50 230V з АКБ Deye?	
307	Чи сумісний інвертор Victron Energy MultiPlus-II 48/5000/70-50 230V з АКБ BYD B-Box?	
308	Чи сумісний інвертор Huawei SUN2000-2/3/3.68/4/4.6/5/6KTL-L1 з лічильником Chint DDSU666-H?	
309	Чи сумісний інвертор Huawei SUN2000-6KTL-L1 з лічильником Chint DDSU666-H?	
310	Чи сумісний інвертор Huawei SUN2000-10KTL-M1 з WLAN/FE dongle?	
311	Чи сумісний інвертор Huawei SUN2000-50ktl-M3 з лічильником Chint DTSU666-H 250 A?	
312	Чи сумісний інвертор Sungrow SG6.0RS з лічильником DTSU666-20?	
313	Чи сумісний інвертор SOFAR HYD 6000-EP з АКБ Pylontech US 5000?	
314	Чи сумісний інвертор SOFAR HYD 6000-ES з АКБ Deye?	
315	Чи можна в одну 3 фазну систему на інверторах Victron підключати інвертор Fronius Symo?	
316	Чи можна в одну систему підключити АКБ Pylontech US5000 і Pylontech US2000?	
317	Яка послідовність підключення моделей АКБ Pylontech US5000 і Pylontech US2000?	
318	Чи сумісний інвертор Deye SUN-520K-SG01HP3 з АКБ Pylontech US5000?	
319	Чи сумісний інвертор Deye SUN-15K-SG01HP3 з АКБ серії Dyness?	
320	Чи можна підключити в паралель інвертори LuxPower SNA5000 і LuxPower SNA6000?	
321	Чи можна підключати в одну систему АКБ Dyness DL5.0C і Dyness А48100?	
322	Чи сумісний інвертор Sungrow SG5.0RT з АКБ BYD HVS?	
323	Чи сумісний інвертор Sungrow SG8.0RT з АКБ Pylontech US5000?	
324	Чи сумісний інвертор Solis RAI-3K-48ES-5G з АКБ Pylontech US2000?	
325	Чи сумісний інвертор Solis RAI-3K-48ES-5G з АКБ Dyness A48100?	
326	Чи сумісний інвертор Solis RHI-3K-48ES-5G АКБ Pylontech US5000?	
327	Чи сумісний інвертор Solis RHI-3P 10K-HVES-5G з АКБ Deye?	
328	Чи сумісний інвертор Huawei SUN2000-12/15/17/20KTL-M2 з 4G dongle?	
329	Чи є схема роботи Sofar HYD 10 KTL без підключення комплектного лічильника ?	
330	Який інтерфейс BMS-комунікації Dyness DL5.0C ?	
331	Чи підтримує система функцію автоматичного балансування між батарейними стеками DEYE BOS-G?	
332	Чи є режим Black Start — і що необхідно для його активації DEYE BOS-G ?	
333	Чи є в інвертора у Sofar 100KTLX-G4 PID-Recovery та в яких умовах він активний?	
334	Який рівень грозозахисту по DC і AC сторонам у Sofar 100KTLX-G4 ?	
335	Чи допускається робота без батареї Solis RHI 3P-10K?	
336	Які критерії відключення PV при перенапрузі мережі Solis RHI 3P-10K ?	
337	Чи можливий AC coupling і які обмеження для нього Чи можливий AC coupling і які обмеження для нього?	
338	Як налаштувати режим Time-of-Use — і що можна контролювати Solis RHI 3P-10K ?	
339	Чи можливий AC coupling і які обмеження для нього Solis RHI 3P-10K ?	
340	Чи підтримує інвертор Solis RHI 3P-10K роботу паралельно з генератором?	
341	Як реалізується пріоритетне живлення батареї або навантаження Solis RHI 3P-10K ?	
342	и підтримує система Active Balancing між модулями Sofar BTS ?	
343	Які вимоги до узгодження кабелів різної довжини при паралелі BTS?	
344	Який алгоритм використовується для попередження Thermal Runaway у Sofar BTS?	
345	Яка архітектура охолодження системи — пасивна чи активна Sofar 30KTLX-G3?	
346	Чи має інвертор можливість нічного моніторингу та як він реалізований Sofar 30KTLX-G3 ?	
347	Які параметри можна обмежувати згідно вимог O&M Sofar 30KTLX-G3 ?	
348	Якою є захист від Anti-islanding і як він тестується 30KTLX-G3 ?	
349	Чи можливе під’єднання до SCADA і який інтерфейс використовується 30KTLX-G3 ?	
350	Чи підтримує інвертор функцію Zero Export з CT-сенсором у Sofar 100KTLX-G4 ?	
351	Які методи захисту застосовані від DC reverse polarity Sofar 100 KTLX g4?	
352	Який тип топології використовує Fronius Tauro — централізована чи децентралізована?	
353	Чи можна підключити інвертор Tauro безпосередньо до Smart Meter?	
354	Яким чином Tauro реалізує захист від дугового замикання (AFCI)?	
355	к реалізується функція ShadeFix у Fronius Tauro?	
356	Як інвертор Primo визначає, що живлення йде від батареї, а не від мережі?	
357	Чи підтримує Fronius Primo функцію Zero Feed-In (нульовий експорт)?	
358	Який тип комунікації використовується для підключення Smart Meter до Primo?	
359	Як Fronius Primo обробляє короткочасні перенапруги на AC-лінії?	
360	Чи можна інтегрувати Fronius Primo у систему з Victron Cerbo GX?	
361	Який основний принцип інтеграції інвертора, MPPT-контролера та захистів у Victron EasySolar?	
362	Як EasySolar визначає пріоритет джерел енергії (PV, мережа, генератор)?	
363	Яка роль Color Control GX у системі EasySolar?	
364	Чи підтримує EasySolar паралельну роботу декількох блоків?	
365	Яким чином можна обмежити заряджання батареї з мережі у Victron EasySolar ?	
366	Як EasySolar реагує на зникнення комунікації з BMS батареї?	
367	Чи підтримує EasySolar функцію PowerAssist, і як вона впливає на пікові навантаження?	
368	Як налаштувати AC Input Current Limit для роботи з обмеженою потужністю генератора?	
369	Яким чином інвертор LuxPower SNA 6000 контролює зворотний потік енергії в мережу при ввімкненій функції Zero Export і який пристрій для цього використовується?	
370	Як інвертор LuxPower SNA 6000 реагує при втраті комунікації з BMS — переходить у захисний режим, продовжує роботу з обмеженням струму чи вимикає заряд/розряд повністю?	
371	Які параметри потрібно змінити в налаштуваннях, щоб забезпечити коректну паралельну роботу кількох інверторів LuxPower SNA 6000 із спільною батареєю?	
372	"Скільки максимум блоків АКБ SBR можна підключити до інвертора Sungrow SH6.0RS?"	